IDnum	sessionNum	pNAs	pTrialsInCentralArea
02	1	0	0.9375
03	1	0	0.55
03	2	0	0.575
04	1	0.00625	0.7924528301886793
04	2	0	0.875
05	1	0	0.16874999999999996
05	2	0	0.5875
06	1	0	0.45625000000000004
06	2	0	0.275
07	1	0.0125	0
07	2	0	0
08	1	0	0.275
08	2	0	0.09375
13	1	0	0.11250000000000004
13	2	0	0.44375
14	1	0	0.5375
14	2	0	0.7125
15	1	0	0.8375
15	2	0	0.44375
16	1	0	0.7
16	2	0	0.7
17	1	0	0.13749999999999996
17	2	0.00625	0.012578616352201255
18	1	0	0.006249999999999978
19	1	0	0.41874999999999996
19	2	0	0.64375
20	1	0	0.9125
20	2	0	0.625
21	1	0	0.30625
21	2	0	0
22	1	0.04375	0.16993464052287577
22	2	0	0.48124999999999996
23	1	0	0.65625
23	2	0	0.85
24	1	0	0.60625
24	2	0	0.69375
25	1	0	0.70625
25	2	0	0.94375
26	1	0	0.7875
26	2	0	0.8625
27	1	0	0.65
27	2	0	0.775
28	1	0.00625	0.04402515723270439
28	2	0	0.21250000000000002
29	1	0	0
29	2	0	0.0625
30	1	0	0
30	2	0	0.03125
31	1	0	0.17500000000000004
31	2	0	0.375
32	1	0	0.44999999999999996
32	2	0	0.5
33	1	0	0.575
33	2	0	0.42500000000000004
34	1	0.0125	0.19620253164556967
34	2	0.03125	0.17419354838709677
35	1	0.10625	0.04195804195804198
35	2	0	0.06874999999999998
36	1	0	0.63125
36	2	0	0.7875
37	1	0	0.9
37	2	0	0.91875
38	1	0	0.675
38	2	0	0.75
39	1	0	0.54375
39	2	0	0.018750000000000044
40	1	0	0.80625
40	2	0	0.75
41	1	0.99375	0
41	2	0	0.525
42	1	0	0.9
42	2	0	0.925
43	1	0	0.975
43	2	0	0.9375
44	1	0	0.71875
44	2	0	0.45625000000000004
45	1	0	0.8625
45	2	0	0.875
46	1	0.00625	0.08176100628930816
46	2	0.00625	0.28301886792452835
47	1	0.0375	0.08441558441558439
47	2	0.04375	0.40522875816993464
48	1	0	0.6
48	2	0	0.60625
49	1	0	0.4375
49	2	0	0.6375
50	1	0	0.35
50	2	0	0.35624999999999996
51	1	0	0.11250000000000004
51	2	0	0
52	1	0	0.16874999999999996
52	2	0.00625	0.1383647798742138
53	1	0	0.3375
53	2	0	0.7125
54	1	0	0.7125
54	2	0	0.79375
